2025-05-17 15:59:57.484 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'peti' logged in
2025-05-17 16:00:13.524 [JavaFX Application Thread] INFO  org.rssreader.controller.FeedController - User 'peti' added new feed with URL 'szia.hu'
2025-05-17 16:00:52.520 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'peti' logged in
2025-05-17 16:02:34.629 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'peti' logged in
2025-05-18 11:08:07.384 [JavaFX Application Thread] WARN  org.rssreader.controller.LoginController - Failed login attempt for username 'asdf'
2025-05-18 11:08:33.543 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 11:17:06.228 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 11:20:47.978 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 11:28:13.910 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 11:28:23.658 [JavaFX Application Thread] INFO  org.rssreader.controller.FeedController - User 'atix' added new feed with URL 'www.asdf.hu'
2025-05-18 11:31:20.690 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 11:34:43.780 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 11:34:56.135 [JavaFX Application Thread] INFO  org.rssreader.controller.FeedController - User 'atix' added new feed with URL 'www.atix.hu'
2025-05-18 11:38:23.218 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 11:38:37.541 [JavaFX Application Thread] INFO  org.rssreader.controller.FeedController - User 'atix' added new feed with URL 'www.test.hu'
2025-05-18 11:46:16.566 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 11:46:29.849 [JavaFX Application Thread] INFO  org.rssreader.controller.FeedController - User 'atix' added new feed with URL 'https://prohardver.hu/hirfolyam/anyagok/rss.xml'
2025-05-18 11:46:57.151 [JavaFX Application Thread] INFO  org.rssreader.controller.FeedController - User 'atix' added new feed with URL 'https://prohardver.hu/hirfolyam/anyagok/rss.xml'
2025-05-18 12:00:01.075 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 12:01:41.338 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 12:02:40.013 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 12:04:40.970 [JavaFX Application Thread] WARN  org.rssreader.controller.LoginController - Failed login attempt for username 'atix'
2025-05-18 12:04:44.419 [JavaFX Application Thread] INFO  org.rssreader.controller.LoginController - User 'atix' logged in
2025-05-18 12:04:47.172 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 21' at line 1
2025-05-18 12:04:47.186 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 22' at line 1
2025-05-18 12:04:47.198 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 23' at line 1
2025-05-18 12:04:47.221 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 24' at line 1
2025-05-18 12:04:47.234 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 25' at line 1
2025-05-18 12:04:47.247 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 26' at line 1
2025-05-18 12:04:47.262 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 27' at line 1
2025-05-18 12:04:47.281 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 28' at line 1
2025-05-18 12:04:47.303 [JavaFX Application Thread] WARN  org.mariadb.jdbc.message.server.ErrorPacket - Error: 1064-42000: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM UserArticle WHERE user = 'atix' AND article_id = 29' at line 1
